numIters,TrainF1Score,TestF1Score,TrainError,TrainAccuracy,TestAccuracy,Time,TestingError
1.0,0.44270015698587123,0.26388888888888895,0.5781758957654723,0.4218241042345277,0.3116883116883117,0.006807088851928711,0.6883116883116883
2.0,0.44270015698587123,0.26388888888888895,0.5781758957654723,0.4218241042345277,0.3116883116883117,0.0076291561126708984,0.6883116883116883
4.0,0.44270015698587123,0.26388888888888895,0.5781758957654723,0.4218241042345277,0.3116883116883117,0.008240938186645508,0.6883116883116883
8.0,0.3912310286677909,0.22388059701492538,0.5879478827361564,0.41205211726384366,0.3246753246753247,0.01390385627746582,0.6753246753246753
16.0,0.4761904761904762,0.31858407079646023,0.44788273615635177,0.5521172638436482,0.5,0.028065204620361328,0.5
32.0,0.552,0.46846846846846846,0.3648208469055375,0.6351791530944625,0.6168831168831169,0.04688882827758789,0.3831168831168831
64.0,0.6065573770491802,0.5185185185185185,0.3127035830618893,0.6872964169381107,0.6623376623376623,0.0808708667755127,0.33766233766233766
128.0,0.6652542372881357,0.5631067961165048,0.25732899022801303,0.742671009771987,0.7077922077922078,0.17743492126464844,0.29220779220779225
256.0,0.6548672566371682,0.5242718446601943,0.254071661237785,0.745928338762215,0.6818181818181818,0.3017768859863281,0.31818181818181823
512.0,0.6774193548387097,0.58,0.2280130293159609,0.7719869706840391,0.7272727272727273,0.6158158779144287,0.2727272727272727
1024.0,0.703448275862069,0.5631067961165048,0.21009771986970682,0.7899022801302932,0.7077922077922078,1.198786973953247,0.29220779220779225
2048.0,0.7004608294930875,0.6138613861386139,0.21172638436482083,0.7882736156351792,0.7467532467532467,2.224471092224121,0.2532467532467533
