numIters,TrainF1Score,TestF1Score,TrainError,TrainAccuracy,TestAccuracy,Time,TestingError
1.0,0.5276381909547738,0.5116279069767442,0.30618892508143325,0.6938110749185668,0.7272727272727273,0.5984680652618408,0.2727272727272727
2.0,0.5276381909547738,0.5116279069767442,0.30618892508143325,0.6938110749185668,0.7272727272727273,0.8398032188415527,0.2727272727272727
4.0,0.6137787056367433,0.56,0.30130293159609123,0.6986970684039088,0.7142857142857143,1.2493150234222412,0.2857142857142857
8.0,0.6311300639658848,0.5714285714285715,0.28175895765472314,0.7182410423452769,0.7272727272727273,2.4263930320739746,0.2727272727272727
16.0,0.6311300639658848,0.5714285714285715,0.28175895765472314,0.7182410423452769,0.7272727272727273,5.033549785614014,0.2727272727272727
32.0,0.5961123110151187,0.56,0.30456026058631924,0.6954397394136808,0.7142857142857143,9.198548793792725,0.2857142857142857
64.0,0.6666666666666667,0.6415094339622641,0.254071661237785,0.745928338762215,0.7532467532467533,16.660955905914307,0.24675324675324672
128.0,0.5979899497487436,0.5476190476190476,0.26058631921824105,0.739413680781759,0.7532467532467533,33.65275597572327,0.24675324675324672
256.0,0.6,0.56,0.2736156351791531,0.7263843648208469,0.7142857142857143,68.71600985527039,0.2857142857142857
512.0,0.6606741573033708,0.5102040816326531,0.24592833876221498,0.754071661237785,0.6883116883116883,114.54425811767578,0.3116883116883117
1024.0,0.6606741573033708,0.5102040816326531,0.24592833876221498,0.754071661237785,0.6883116883116883,115.5779812335968,0.3116883116883117
2048.0,0.6606741573033708,0.5102040816326531,0.24592833876221498,0.754071661237785,0.6883116883116883,107.85832905769348,0.3116883116883117
