numIters,TrainF1Score,TestF1Score,TrainError,TrainAccuracy,TestAccuracy,Time,TestingError
1.0,0.45705024311183146,0.2695035460992908,0.5456026058631922,0.4543973941368078,0.33116883116883117,0.008758068084716797,0.6688311688311688
2.0,0.472668810289389,0.28571428571428575,0.5342019543973942,0.46579804560260585,0.35064935064935066,0.017047882080078125,0.6493506493506493
4.0,0.4568690095846645,0.2517482517482518,0.5537459283387622,0.44625407166123776,0.3051948051948052,0.019110679626464844,0.6948051948051948
8.0,0.47798742138364775,0.26388888888888895,0.5407166123778502,0.4592833876221498,0.3116883116883117,0.028609752655029297,0.6883116883116883
16.0,0.384180790960452,0.25,0.5325732899022801,0.46742671009771986,0.4155844155844156,0.050090789794921875,0.5844155844155844
32.0,0.4188911704312115,0.26315789473684204,0.4609120521172638,0.5390879478827362,0.45454545454545453,0.07738804817199707,0.5454545454545454
64.0,0.3922204213938412,0.21212121212121213,0.6107491856677525,0.38925081433224756,0.3246753246753247,0.14853405952453613,0.6753246753246753
128.0,0.4826254826254826,0.396551724137931,0.4364820846905537,0.5635179153094463,0.5454545454545454,0.2642979621887207,0.4545454545454546
256.0,0.5347368421052632,0.5567010309278351,0.3599348534201955,0.6400651465798045,0.7207792207792207,0.49109983444213867,0.27922077922077926
512.0,0.6342592592592592,0.5625,0.25732899022801303,0.742671009771987,0.7272727272727273,1.004464864730835,0.2727272727272727
1024.0,0.6556603773584907,0.514851485148515,0.23778501628664495,0.762214983713355,0.6818181818181818,2.9050941467285156,0.31818181818181823
2048.0,0.7264367816091953,0.5454545454545454,0.19381107491856675,0.8061889250814332,0.7077922077922078,4.055718898773193,0.29220779220779225
