,FEvals,Fitness,Iteration,Keep Percent,Population Size,Time,max_iters,use_fast_mimic
0,200.0,52.0,0,0.6,200,0.0053089160000006075,64,True
1,402.0,169.0,1,0.6,200,0.01641024800000057,64,True
2,603.0,169.0,2,0.6,200,0.02773395500000042,64,True
3,805.0,176.0,3,0.6,200,0.038651566000000415,64,True
4,1006.0,176.0,4,0.6,200,0.0454182800000007,64,True
5,1207.0,176.0,5,0.6,200,0.05602966700000067,64,True
6,1408.0,176.0,6,0.6,200,0.06259175000000017,64,True
7,1609.0,176.0,7,0.6,200,0.06902077300000009,64,True
8,1810.0,176.0,8,0.6,200,0.07505693800000035,64,True
9,2011.0,176.0,9,0.6,200,0.08530378600000077,64,True
10,2212.0,176.0,10,0.6,200,0.09141459500000071,64,True
11,2413.0,176.0,11,0.6,200,0.09784753600000062,64,True
12,2614.0,176.0,12,0.6,200,0.10409533400000015,64,True
13,2815.0,176.0,13,0.6,200,0.11010216800000006,64,True
14,3016.0,176.0,14,0.6,200,0.11631219100000045,64,True
15,3217.0,176.0,15,0.6,200,0.12246890200000049,64,True
16,3418.0,176.0,16,0.6,200,0.12879471100000028,64,True
17,3619.0,176.0,17,0.6,200,0.1391185040000007,64,True
18,3820.0,176.0,18,0.6,200,0.1453784890000005,64,True
19,4021.0,176.0,19,0.6,200,0.15157837100000027,64,True
20,4222.0,176.0,20,0.6,200,0.1577389990000002,64,True
21,4423.0,176.0,21,0.6,200,0.16398187199999992,64,True
22,4624.0,176.0,22,0.6,200,0.1702048000000005,64,True
23,4825.0,176.0,23,0.6,200,0.17636304000000003,64,True
24,5026.0,176.0,24,0.6,200,0.18248481700000063,64,True
25,5227.0,176.0,25,0.6,200,0.18859102500000002,64,True
26,5428.0,176.0,26,0.6,200,0.19476288700000044,64,True
27,5629.0,176.0,27,0.6,200,0.2010606450000001,64,True
28,5830.0,176.0,28,0.6,200,0.20729309900000015,64,True
29,6031.0,176.0,29,0.6,200,0.21353994000000043,64,True
30,6232.0,176.0,30,0.6,200,0.21979116000000065,64,True
31,6433.0,176.0,31,0.6,200,0.22561411300000067,64,True
32,6634.0,176.0,32,0.6,200,0.2317013370000005,64,True
33,6835.0,176.0,33,0.6,200,0.24280965900000062,64,True
34,7036.0,176.0,34,0.6,200,0.24886241700000067,64,True
35,7237.0,176.0,35,0.6,200,0.25482280100000043,64,True
36,7438.0,176.0,36,0.6,200,0.2609158540000003,64,True
37,7639.0,176.0,37,0.6,200,0.2669878170000004,64,True
38,7840.0,176.0,38,0.6,200,0.2731873870000001,64,True
39,8041.0,176.0,39,0.6,200,0.2795665070000002,64,True
40,8242.0,176.0,40,0.6,200,0.28622690600000045,64,True
41,8443.0,176.0,41,0.6,200,0.2931775830000003,64,True
42,8644.0,176.0,42,0.6,200,0.3009236170000005,64,True
43,8845.0,176.0,43,0.6,200,0.3081011390000006,64,True
44,9046.0,176.0,44,0.6,200,0.31561951500000074,64,True
45,9247.0,176.0,45,0.6,200,0.32328790200000057,64,True
46,9448.0,176.0,46,0.6,200,0.3306761000000007,64,True
47,9649.0,176.0,47,0.6,200,0.3375525460000004,64,True
48,9850.0,176.0,48,0.6,200,0.34439087300000004,64,True
49,10051.0,176.0,49,0.6,200,0.35102428700000043,64,True
50,10252.0,176.0,50,0.6,200,0.3575281300000004,64,True
51,10453.0,176.0,51,0.6,200,0.36399765100000003,64,True
52,10654.0,176.0,52,0.6,200,0.3706932090000006,64,True
53,10855.0,176.0,53,0.6,200,0.3778565570000003,64,True
54,11056.0,176.0,54,0.6,200,0.3850777720000007,64,True
55,11257.0,176.0,55,0.6,200,0.3921144530000005,64,True
56,11458.0,176.0,56,0.6,200,0.40220527399999995,64,True
57,11659.0,176.0,57,0.6,200,0.4110011199999999,64,True
58,11860.0,176.0,58,0.6,200,0.41911531700000015,64,True
59,12061.0,176.0,59,0.6,200,0.4284464650000004,64,True
60,12262.0,176.0,60,0.6,200,0.43824538299999993,64,True
61,12463.0,176.0,61,0.6,200,0.4460018090000002,64,True
62,12664.0,176.0,62,0.6,200,0.4525410550000002,64,True
63,12865.0,176.0,63,0.6,200,0.4586671200000003,64,True
64,13066.0,176.0,64,0.6,200,0.46519901899999994,64,True
