,FEvals,Fitness,Iteration,Mutation Rate,Population Size,State,Time,max_iters
0,100,59.0,0,0.6,100,"[0, 0, 0, 0, 0, 1, 1, 0, 0]",0.002260064000000117,64
1,202,168.0,1,0.6,100,"[1, 1, 1, 0, 1, 1, 0, 0, 1]",0.011364738000000152,64
2,303,168.0,2,0.6,100,"[1, 1, 1, 0, 1, 1, 0, 0, 1]",0.02045190500000027,64
3,506,176.0,4,0.6,100,"[0, 1, 1, 0, 1, 1, 1, 0, 1]",0.036993702000000184,64
4,910,176.0,8,0.6,100,"[0, 1, 1, 0, 1, 1, 1, 0, 1]",0.075886165,64
5,1718,176.0,16,0.6,100,"[0, 1, 1, 0, 1, 1, 1, 0, 1]",0.14324651399999988,64
6,3334,176.0,32,0.6,100,"[0, 1, 1, 0, 1, 1, 1, 0, 1]",0.24624500800000027,64
7,6566,176.0,64,0.6,100,"[0, 1, 1, 0, 1, 1, 1, 0, 1]",0.45647201199999987,64
