,FEvals,Fitness,Iteration,State,Temperature,Time,max_iters,schedule_current_value,schedule_exp_const,schedule_init_temp,schedule_min_temp,schedule_type
0,0,0.0,0,"[1, 1, 1, 1, 0, 0, 1, 0, 0]",250,9.931400000007251e-05,64,249.99987585753084,0.005,250,0.001,exponential
1,2,106.0,1,"[0, 1, 1, 1, 0, 0, 1, 0, 0]",250,0.003931530000000016,64,249.99508563580258,0.005,250,0.001,exponential
2,4,67.0,2,"[0, 0, 1, 1, 0, 0, 1, 0, 0]",250,0.009009386999999869,64,249.98873851989947,0.005,250,0.001,exponential
3,8,67.0,4,"[0, 0, 1, 1, 0, 0, 1, 0, 0]",250,0.013166365999999874,64,249.98354258421685,0.005,250,0.001,exponential
4,15,81.0,8,"[0, 0, 1, 1, 0, 1, 0, 1, 0]",250,0.01732296099999986,64,249.97834723648847,0.005,250,0.001,exponential
5,30,136.0,16,"[0, 1, 0, 1, 0, 1, 1, 0, 1]",250,0.021675598000000074,64,249.97290697067055,0.005,250,0.001,exponential
6,60,128.0,32,"[0, 1, 0, 1, 1, 0, 1, 0, 1]",250,0.027831868999999898,64,249.96521258430312,0.005,250,0.001,exponential
7,124,59.0,64,"[1, 0, 1, 1, 0, 0, 0, 0, 0]",250,0.034696695999999916,64,249.9566328918472,0.005,250,0.001,exponential
