,FEvals,Fitness,Iteration,Mutation Rate,Population Size,State,Time,max_iters
0,100,112.0,0,0.5,100,"[1, 1, 0, 0, 1, 1, 0, 0, 0]",0.003588056999999978,64
1,202,176.0,1,0.5,100,"[0, 1, 1, 0, 1, 1, 1, 0, 1]",0.019480794999999773,64
2,303,176.0,2,0.5,100,"[0, 1, 1, 0, 1, 1, 1, 0, 1]",0.03214133799999974,64
3,505,176.0,4,0.5,100,"[0, 1, 1, 0, 1, 1, 1, 0, 1]",0.054342769999999874,64
4,909,176.0,8,0.5,100,"[0, 1, 1, 0, 1, 1, 1, 0, 1]",0.09026086799999966,64
5,1717,176.0,16,0.5,100,"[0, 1, 1, 0, 1, 1, 1, 0, 1]",0.15155796699999957,64
6,3333,176.0,32,0.5,100,"[0, 1, 1, 0, 1, 1, 1, 0, 1]",0.2730991129999998,64
7,6565,176.0,64,0.5,100,"[0, 1, 1, 0, 1, 1, 1, 0, 1]",0.4716433969999998,64
