,FEvals,Fitness,Iteration,Mutation Rate,Population Size,Time,max_iters
0,200.0,51.0,0,0.5,200,0.0027111379999986696,8192
1,402.0,64.0,1,0.5,200,0.017984343999998487,8192
2,604.0,67.0,2,0.5,200,0.03339059900000052,8192
3,805.0,67.0,3,0.5,200,0.049040986999997926,8192
4,1006.0,67.0,4,0.5,200,0.0603980799999988,8192
5,1208.0,71.0,5,0.5,200,0.07611969999999957,8192
6,1409.0,71.0,6,0.5,200,0.08781489199999726,8192
7,1611.0,73.0,7,0.5,200,0.0990632689999984,8192
8,1812.0,73.0,8,0.5,200,0.11041051899999843,8192
9,2014.0,78.0,9,0.5,200,0.12611085200000005,8192
10,2215.0,78.0,10,0.5,200,0.1379104180000006,8192
11,2417.0,80.0,11,0.5,200,0.14941067799999885,8192
12,2618.0,80.0,12,0.5,200,0.1602992669999992,8192
13,2820.0,83.0,13,0.5,200,0.1705448159999996,8192
14,3021.0,83.0,14,0.5,200,0.18081213299999987,8192
15,3222.0,83.0,15,0.5,200,0.1911404619999999,8192
16,3423.0,83.0,16,0.5,200,0.20145833799999835,8192
17,3625.0,89.0,17,0.5,200,0.21561044499999937,8192
18,3826.0,89.0,18,0.5,200,0.22589496699999856,8192
19,4027.0,89.0,19,0.5,200,0.2362524189999995,8192
20,4228.0,89.0,20,0.5,200,0.24655593600000003,8192
21,4429.0,89.0,21,0.5,200,0.2567727429999991,8192
22,4631.0,91.0,22,0.5,200,0.266943904999998,8192
23,4832.0,91.0,23,0.5,200,0.277042085999998,8192
24,5034.0,94.0,24,0.5,200,0.2871907880000002,8192
25,5235.0,94.0,25,0.5,200,0.29758476599999995,8192
26,5437.0,95.0,26,0.5,200,0.30792907600000063,8192
27,5639.0,96.0,27,0.5,200,0.318159516999998,8192
28,5840.0,96.0,28,0.5,200,0.3285286309999975,8192
29,6041.0,96.0,29,0.5,200,0.3387134490000001,8192
30,6242.0,96.0,30,0.5,200,0.3489337389999996,8192
31,6444.0,98.0,31,0.5,200,0.3591020109999974,8192
32,6645.0,98.0,32,0.5,200,0.3693460679999987,8192
33,6846.0,98.0,33,0.5,200,0.3835257679999984,8192
34,7048.0,99.0,34,0.5,200,0.393751984999998,8192
35,7249.0,99.0,35,0.5,200,0.4038326449999978,8192
36,7451.0,100.0,36,0.5,200,0.4140687839999977,8192
37,7652.0,100.0,37,0.5,200,0.4242556180000001,8192
38,7853.0,100.0,38,0.5,200,0.4344204420000004,8192
39,8054.0,100.0,39,0.5,200,0.4446822130000001,8192
40,8255.0,100.0,40,0.5,200,0.4548527379999996,8192
41,8456.0,100.0,41,0.5,200,0.4651406379999976,8192
42,8657.0,100.0,42,0.5,200,0.4753294789999991,8192
43,8858.0,100.0,43,0.5,200,0.48555090300000003,8192
44,9059.0,100.0,44,0.5,200,0.4956041209999995,8192
45,9260.0,100.0,45,0.5,200,0.5059476279999977,8192
46,9461.0,100.0,46,0.5,200,0.5162316179999991,8192
47,9662.0,100.0,47,0.5,200,0.5264741270000002,8192
48,9863.0,100.0,48,0.5,200,0.5366819760000006,8192
49,10064.0,100.0,49,0.5,200,0.5467474089999982,8192
50,10265.0,100.0,50,0.5,200,0.5568943510000004,8192
51,10466.0,100.0,51,0.5,200,0.566976658999998,8192
52,10667.0,100.0,52,0.5,200,0.5771737879999996,8192
53,10868.0,100.0,53,0.5,200,0.5873317050000004,8192
54,11069.0,100.0,54,0.5,200,0.5975018040000002,8192
55,11270.0,100.0,55,0.5,200,0.6076141100000001,8192
56,11471.0,100.0,56,0.5,200,0.6176900599999975,8192
57,11672.0,100.0,57,0.5,200,0.6279425149999973,8192
58,11873.0,100.0,58,0.5,200,0.6379997690000003,8192
59,12074.0,100.0,59,0.5,200,0.6479989999999987,8192
60,12275.0,100.0,60,0.5,200,0.6580716849999995,8192
61,12476.0,100.0,61,0.5,200,0.6680624659999985,8192
62,12677.0,100.0,62,0.5,200,0.6781325050000007,8192
63,12878.0,100.0,63,0.5,200,0.6884547049999981,8192
64,13079.0,100.0,64,0.5,200,0.6984763789999988,8192
65,13280.0,100.0,65,0.5,200,0.7131021880000006,8192
66,13481.0,100.0,66,0.5,200,0.7234462029999982,8192
67,13682.0,100.0,67,0.5,200,0.7334704349999974,8192
68,13883.0,100.0,68,0.5,200,0.743507675,8192
69,14084.0,100.0,69,0.5,200,0.7541645439999982,8192
70,14285.0,100.0,70,0.5,200,0.7651396109999986,8192
71,14486.0,100.0,71,0.5,200,0.7752403279999989,8192
72,14687.0,100.0,72,0.5,200,0.785766130999999,8192
73,14888.0,100.0,73,0.5,200,0.7966552090000008,8192
74,15089.0,100.0,74,0.5,200,0.8078595259999979,8192
75,15290.0,100.0,75,0.5,200,0.8181081429999999,8192
76,15491.0,100.0,76,0.5,200,0.8282942899999988,8192
77,15692.0,100.0,77,0.5,200,0.8391639009999992,8192
78,15893.0,100.0,78,0.5,200,0.8503935879999993,8192
79,16094.0,100.0,79,0.5,200,0.8610969159999975,8192
80,16295.0,100.0,80,0.5,200,0.8713444280000004,8192
81,16496.0,100.0,81,0.5,200,0.8813404319999982,8192
82,16697.0,100.0,82,0.5,200,0.8915534729999983,8192
83,16898.0,100.0,83,0.5,200,0.9016510639999993,8192
84,17099.0,100.0,84,0.5,200,0.9117302599999988,8192
85,17300.0,100.0,85,0.5,200,0.9218775979999982,8192
86,17501.0,100.0,86,0.5,200,0.931967070999999,8192
87,17702.0,100.0,87,0.5,200,0.9425295259999977,8192
88,17903.0,100.0,88,0.5,200,0.9528908109999996,8192
89,18104.0,100.0,89,0.5,200,0.9632051599999976,8192
90,18305.0,100.0,90,0.5,200,0.9735797999999996,8192
91,18506.0,100.0,91,0.5,200,0.9838152989999998,8192
92,18707.0,100.0,92,0.5,200,0.9942139419999982,8192
93,18908.0,100.0,93,0.5,200,1.0041563459999985,8192
94,19109.0,100.0,94,0.5,200,1.0141743169999984,8192
95,19310.0,100.0,95,0.5,200,1.0242784829999998,8192
96,19511.0,100.0,96,0.5,200,1.0344788949999995,8192
97,19712.0,100.0,97,0.5,200,1.0447014509999981,8192
98,19913.0,100.0,98,0.5,200,1.0549101289999996,8192
99,20114.0,100.0,99,0.5,200,1.0650565430000007,8192
100,20315.0,100.0,100,0.5,200,1.0764005969999992,8192
101,20516.0,100.0,101,0.5,200,1.0874192249999979,8192
102,20717.0,100.0,102,0.5,200,1.0990266169999998,8192
103,20918.0,100.0,103,0.5,200,1.1107882459999985,8192
104,21119.0,100.0,104,0.5,200,1.1221530019999975,8192
105,21320.0,100.0,105,0.5,200,1.1335111259999984,8192
106,21521.0,100.0,106,0.5,200,1.144846476999998,8192
107,21722.0,100.0,107,0.5,200,1.1559017209999993,8192
108,21923.0,100.0,108,0.5,200,1.1669819859999997,8192
109,22124.0,100.0,109,0.5,200,1.178082233999998,8192
110,22325.0,100.0,110,0.5,200,1.1890764029999978,8192
111,22526.0,100.0,111,0.5,200,1.1996083199999994,8192
112,22727.0,100.0,112,0.5,200,1.2108471049999991,8192
113,22928.0,100.0,113,0.5,200,1.2225827010000003,8192
114,23129.0,100.0,114,0.5,200,1.2378773800000005,8192
115,23330.0,100.0,115,0.5,200,1.2509267360000003,8192
116,23531.0,100.0,116,0.5,200,1.265805401999998,8192
117,23732.0,100.0,117,0.5,200,1.2786416139999979,8192
118,23933.0,100.0,118,0.5,200,1.2892935319999985,8192
119,24134.0,100.0,119,0.5,200,1.3007114189999989,8192
120,24335.0,100.0,120,0.5,200,1.3113775259999976,8192
121,24536.0,100.0,121,0.5,200,1.3238148760000001,8192
122,24737.0,100.0,122,0.5,200,1.3370704749999973,8192
123,24938.0,100.0,123,0.5,200,1.3509173489999995,8192
124,25139.0,100.0,124,0.5,200,1.3645259179999982,8192
125,25340.0,100.0,125,0.5,200,1.3770931940000004,8192
126,25541.0,100.0,126,0.5,200,1.3885935610000004,8192
127,25742.0,100.0,127,0.5,200,1.399705664999999,8192
128,25943.0,100.0,128,0.5,200,1.4099796970000007,8192
129,26144.0,100.0,129,0.5,200,1.4254130509999996,8192
130,26345.0,100.0,130,0.5,200,1.4358535199999984,8192
131,26546.0,100.0,131,0.5,200,1.4467301159999977,8192
132,26747.0,100.0,132,0.5,200,1.4570780009999993,8192
133,26948.0,100.0,133,0.5,200,1.4672102649999985,8192
134,27149.0,100.0,134,0.5,200,1.477726023999999,8192
135,27350.0,100.0,135,0.5,200,1.4882012729999978,8192
136,27551.0,100.0,136,0.5,200,1.4984717689999982,8192
137,27752.0,100.0,137,0.5,200,1.5091824339999995,8192
138,27953.0,100.0,138,0.5,200,1.5195257699999978,8192
139,28154.0,100.0,139,0.5,200,1.5299109420000008,8192
140,28355.0,100.0,140,0.5,200,1.5402324879999973,8192
141,28556.0,100.0,141,0.5,200,1.5505880810000008,8192
142,28757.0,100.0,142,0.5,200,1.5609096319999978,8192
143,28958.0,100.0,143,0.5,200,1.5712487690000003,8192
144,29159.0,100.0,144,0.5,200,1.5815306609999986,8192
145,29360.0,100.0,145,0.5,200,1.5917975359999978,8192
146,29561.0,100.0,146,0.5,200,1.6018157289999984,8192
147,29762.0,100.0,147,0.5,200,1.6119049019999991,8192
148,29963.0,100.0,148,0.5,200,1.623218371,8192
149,30164.0,100.0,149,0.5,200,1.6345032149999987,8192
150,30365.0,100.0,150,0.5,200,1.6462661169999997,8192
151,30566.0,100.0,151,0.5,200,1.657410376999998,8192
152,30767.0,100.0,152,0.5,200,1.6685432849999984,8192
153,30968.0,100.0,153,0.5,200,1.6801557309999993,8192
154,31169.0,100.0,154,0.5,200,1.6914678379999977,8192
155,31370.0,100.0,155,0.5,200,1.7021616809999998,8192
156,31571.0,100.0,156,0.5,200,1.7122724129999973,8192
157,31772.0,100.0,157,0.5,200,1.7230408589999975,8192
158,31973.0,100.0,158,0.5,200,1.733254162999998,8192
159,32174.0,100.0,159,0.5,200,1.7435627549999992,8192
160,32375.0,100.0,160,0.5,200,1.7539082819999976,8192
161,32576.0,100.0,161,0.5,200,1.7640977860000007,8192
162,32777.0,100.0,162,0.5,200,1.774286344,8192
163,32978.0,100.0,163,0.5,200,1.7843685570000005,8192
164,33179.0,100.0,164,0.5,200,1.7945489650000006,8192
165,33380.0,100.0,165,0.5,200,1.8048695069999994,8192
166,33581.0,100.0,166,0.5,200,1.8151150709999975,8192
167,33782.0,100.0,167,0.5,200,1.8252926780000003,8192
168,33983.0,100.0,168,0.5,200,1.8354458139999998,8192
